,station_id,arrival_time,returns
0,0,1065-1080,1
1,0,1080-1095,1
2,0,1095-1110,1
3,0,1125-1140,1
4,0,1140-1155,2
5,0,1155-1170,1
6,0,1185-1200,1
7,0,1200-1215,1
8,0,1275-1290,1
9,0,1365-1380,1
10,0,1410-1425,1
11,0,390-405,1
12,0,405-420,2
13,0,420-435,4
14,0,435-450,2
15,0,450-465,4
16,0,465-480,2
17,0,480-495,4
18,0,495-510,4
19,0,510-525,3
20,0,540-555,4
21,0,555-570,5
22,0,570-585,1
23,0,600-615,1
24,0,645-660,1
25,0,660-675,1
26,0,675-690,1
27,0,690-705,1
28,0,720-735,1
29,0,750-765,1
30,0,810-825,2
31,0,825-840,3
32,0,855-870,2
33,0,870-885,1
34,0,885-900,2
35,0,900-915,1
36,0,915-930,1
37,0,945-960,1
38,0,975-990,1
39,0,990-1005,2
40,1,1005-1020,1
41,1,1020-1035,1
42,1,1125-1140,1
43,1,1260-1275,1
44,1,1290-1305,1
45,1,1410-1425,1
46,1,360-375,1
47,1,390-405,1
48,1,405-420,1
49,1,420-435,4
50,1,435-450,5
51,1,450-465,4
52,1,465-480,2
53,1,480-495,3
54,1,495-510,6
55,1,510-525,2
56,1,525-540,1
57,1,540-555,2
58,1,555-570,5
59,1,585-600,2
60,1,600-615,1
61,1,645-660,1
62,1,660-675,1
63,1,675-690,2
64,1,690-705,2
65,1,735-750,1
66,1,795-810,2
67,1,810-825,1
68,1,945-960,1
69,2,1050-1065,1
70,2,1110-1125,1
71,2,1155-1170,2
72,2,1230-1245,1
73,2,1275-1290,1
74,2,1320-1335,1
75,2,360-375,1
76,2,375-390,2
77,2,390-405,1
78,2,405-420,1
79,2,420-435,2
80,2,435-450,5
81,2,450-465,1
82,2,465-480,4
83,2,480-495,1
84,2,495-510,5
85,2,510-525,3
86,2,525-540,1
87,2,540-555,2
88,2,555-570,1
89,2,570-585,2
90,2,585-600,2
91,2,615-630,2
92,2,630-645,1
93,2,645-660,1
94,2,660-675,1
95,2,675-690,1
96,2,690-705,1
97,2,720-735,1
98,2,735-750,2
99,2,75-90,1
100,2,750-765,1
101,2,825-840,1
102,2,840-855,1
103,2,870-885,1
104,2,900-915,1
105,2,915-930,1
106,3,1035-1050,1
107,3,105-120,2
108,3,1095-1110,1
109,3,1140-1155,1
110,3,1200-1215,1
111,3,1260-1275,1
112,3,1275-1290,1
113,3,1320-1335,1
114,3,1410-1425,1
115,3,1425-1440,1
116,3,375-390,1
117,3,405-420,4
118,3,420-435,1
119,3,435-450,3
120,3,465-480,4
121,3,480-495,3
122,3,495-510,3
123,3,510-525,1
124,3,525-540,7
125,3,540-555,2
126,3,555-570,1
127,3,570-585,1
128,3,585-600,2
129,3,600-615,2
130,3,615-630,1
131,3,705-720,2
132,3,720-735,1
133,3,765-780,1
134,3,810-825,1
135,3,825-840,2
136,3,840-855,1
137,3,930-945,2
138,3,945-960,1
139,4,1020-1035,1
140,4,1065-1080,1
141,4,1095-1110,1
142,4,1110-1125,1
143,4,1125-1140,1
144,4,1170-1185,1
145,4,1215-1230,1
146,4,1245-1260,1
147,4,1290-1305,2
148,4,375-390,2
149,4,390-405,3
150,4,405-420,2
151,4,420-435,3
152,4,435-450,5
153,4,450-465,4
154,4,465-480,9
155,4,480-495,6
156,4,495-510,5
157,4,510-525,3
158,4,525-540,2
159,4,540-555,3
160,4,555-570,2
161,4,570-585,2
162,4,600-615,1
163,4,615-630,2
164,4,630-645,1
165,4,645-660,1
166,4,675-690,1
167,4,705-720,1
168,4,735-750,2
169,4,750-765,1
170,4,810-825,1
171,4,855-870,1
172,4,885-900,1
173,4,990-1005,1
174,5,1005-1020,3
175,5,1035-1050,3
176,5,1050-1065,1
177,5,1065-1080,3
178,5,1095-1110,3
179,5,1110-1125,1
180,5,1125-1140,1
181,5,1140-1155,1
182,5,1200-1215,1
183,5,1305-1320,3
184,5,1335-1350,1
185,5,1365-1380,1
186,5,1380-1395,1
187,5,405-420,1
188,5,435-450,1
189,5,495-510,1
190,5,540-555,2
191,5,585-600,2
192,5,60-75,1
193,5,660-675,1
194,5,690-705,1
195,5,750-765,3
196,5,780-795,1
197,5,795-810,1
198,5,825-840,1
199,5,855-870,1
200,5,930-945,2
201,5,945-960,1
202,5,960-975,1
203,5,975-990,1
204,5,990-1005,3
205,6,1020-1035,1
206,6,1035-1050,2
207,6,1050-1065,2
208,6,1065-1080,2
209,6,1080-1095,2
210,6,1110-1125,3
211,6,1155-1170,1
212,6,1185-1200,1
213,6,1260-1275,1
214,6,1350-1365,1
215,6,1410-1425,1
216,6,450-465,3
217,6,495-510,1
218,6,510-525,1
219,6,525-540,2
220,6,555-570,1
221,6,585-600,1
222,6,600-615,1
223,6,615-630,1
224,6,645-660,1
225,6,705-720,1
226,6,765-780,1
227,6,795-810,1
228,6,810-825,1
229,6,840-855,1
230,6,855-870,2
231,6,885-900,1
232,6,900-915,1
233,6,915-930,1
234,6,930-945,1
235,6,975-990,1
236,6,990-1005,2
237,7,1005-1020,1
238,7,1020-1035,2
239,7,1035-1050,1
240,7,1050-1065,4
241,7,1065-1080,3
242,7,1080-1095,1
243,7,1095-1110,1
244,7,1110-1125,1
245,7,1140-1155,1
246,7,1155-1170,1
247,7,1185-1200,1
248,7,1200-1215,2
249,7,1215-1230,1
250,7,1275-1290,1
251,7,1290-1305,2
252,7,375-390,3
253,7,420-435,1
254,7,450-465,1
255,7,480-495,1
256,7,555-570,1
257,7,570-585,1
258,7,585-600,1
259,7,600-615,1
260,7,615-630,2
261,7,630-645,1
262,7,645-660,1
263,7,690-705,1
264,7,720-735,2
265,7,735-750,1
266,7,75-90,1
267,7,795-810,1
268,7,810-825,1
269,7,870-885,2
270,7,945-960,2
271,7,975-990,1
272,7,990-1005,1
273,8,1005-1020,2
274,8,1020-1035,1
275,8,1050-1065,2
276,8,1065-1080,2
277,8,1080-1095,3
278,8,1095-1110,1
279,8,1110-1125,2
280,8,1215-1230,1
281,8,1230-1245,3
282,8,1290-1305,1
283,8,1305-1320,1
284,8,1425-1440,1
285,8,435-450,1
286,8,45-60,1
287,8,495-510,1
288,8,510-525,1
289,8,540-555,1
290,8,630-645,1
291,8,660-675,1
292,8,675-690,1
293,8,690-705,1
294,8,705-720,1
295,8,735-750,1
296,8,750-765,2
297,8,765-780,2
298,8,870-885,1
299,8,885-900,2
300,8,900-915,1
301,8,945-960,1
302,8,975-990,1
303,8,990-1005,1
304,8,Unknown,1
305,9,1005-1020,1
306,9,1035-1050,1
307,9,1050-1065,2
308,9,1065-1080,2
309,9,1110-1125,4
310,9,1125-1140,1
311,9,1140-1155,2
312,9,1155-1170,1
313,9,1170-1185,2
314,9,1215-1230,1
315,9,1305-1320,2
316,9,1365-1380,1
317,9,1380-1395,1
318,9,390-405,1
319,9,420-435,1
320,9,465-480,2
321,9,480-495,1
322,9,495-510,2
323,9,510-525,1
324,9,555-570,1
325,9,570-585,1
326,9,600-615,1
327,9,705-720,1
328,9,795-810,1
329,9,810-825,1
330,9,840-855,2
331,9,870-885,2
332,9,885-900,2
333,9,90-105,1
334,9,915-930,1
335,9,960-975,1
336,9,975-990,2
337,9,990-1005,1
338,9,Unknown,2
339,10,1005-1020,3
340,10,1035-1050,2
341,10,105-120,1
342,10,1050-1065,1
343,10,1065-1080,2
344,10,1080-1095,4
345,10,1095-1110,1
346,10,1110-1125,1
347,10,1140-1155,2
348,10,1170-1185,1
349,10,1185-1200,1
350,10,1215-1230,1
351,10,1245-1260,1
352,10,1305-1320,2
353,10,1335-1350,1
354,10,1380-1395,2
355,10,1410-1425,1
356,10,435-450,1
357,10,450-465,1
358,10,480-495,2
359,10,510-525,1
360,10,555-570,2
361,10,600-615,1
362,10,615-630,1
363,10,645-660,1
364,10,690-705,2
365,10,705-720,1
366,10,795-810,1
367,10,855-870,1
368,10,870-885,1
369,10,885-900,1
370,10,930-945,1
371,10,945-960,1
372,10,960-975,1
373,10,990-1005,1
374,11,1005-1020,2
375,11,1035-1050,1
376,11,1050-1065,1
377,11,1095-1110,2
378,11,1110-1125,2
379,11,1125-1140,1
380,11,1140-1155,1
381,11,1260-1275,1
382,11,1275-1290,1
383,11,1320-1335,1
384,11,1335-1350,1
385,11,1380-1395,1
386,11,1425-1440,1
387,11,15-30,1
388,11,450-465,2
389,11,465-480,2
390,11,495-510,1
391,11,510-525,1
392,11,525-540,1
393,11,630-645,1
394,11,690-705,1
395,11,735-750,1
396,11,765-780,1
397,11,780-795,1
398,11,795-810,1
399,11,825-840,1
400,11,855-870,1
401,11,870-885,1
402,11,885-900,1
403,11,915-930,1
404,11,975-990,1
405,11,990-1005,1
406,12,1005-1020,2
407,12,1020-1035,2
408,12,1035-1050,3
409,12,1080-1095,1
410,12,1095-1110,1
